Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
1/1/2023,Breakfast,415.9,16.6,5.5,1.5,5,0,210.6,164.8,234.4,42.6,9.2,15.5,24.3,6.6,0,70.3,12.9,
1/1/2023,Dinner,325.2,6.7,2.5,0,0,0,12.5,618.7,318.9,19.9,7,7.2,43.8,8,14,9.5,6.3,
1/1/2023,Evening,175,8,4.5,0,0,0,5,77.5,189.5,21.5,1.5,15,7,0,0,9.3,9.6,
1/1/2023,Lunch,654.4,19.1,5.2,0,0.3,0,20,1226.2,0,120.2,6.3,21.8,30.3,59.6,15,73.6,15.1,
1/1/2023,Morning,361.7,6.3,2.3,1.5,1.4,0,12.5,331.5,952,72.1,8.4,22.8,13.3,17.3,23.3,36.4,99,
1/1/2023,PreWorkout,455,6,2.5,0,0,0,12.5,255,110,28,3.5,3,69,0,10,17.5,0,
1/2/2023,Breakfast,415.9,16.6,5.5,1.5,5,0,210.6,164.8,234.4,42.6,9.2,15.5,24.3,6.6,0,70.3,12.9,
1/2/2023,Dinner,319.2,1.5,0.1,0.2,0.1,0,0,2,189,46.3,2.3,2.9,28.8,2.8,26.9,1,2.4,
1/2/2023,Evening,73.4,0,0,0,0,0,0,86.7,66.7,0.7,0,0,16.7,0,6.7,6.7,0,
1/2/2023,Lunch,546.7,17.2,4.7,0.1,1.1,0,119.6,456.7,815.8,63.3,6.8,11.6,31.1,1011.4,63.9,52.6,12,
1/2/2023,Morning,510.7,9.3,2.6,1.7,3.7,0,12.5,366.2,1027.9,102.1,8.4,25.1,13.6,17.3,23.3,51.6,100.5,
1/2/2023,PreWorkout,712.4,19.5,6,2,7,0,13.3,513,572.4,69.1,8,11.5,66,0,10.9,24.9,9.6,
1/3/2023,Breakfast,415.9,16.6,5.5,1.5,5,0,210.6,164.8,234.4,42.6,9.2,15.5,24.3,6.6,0,70.3,12.9,
1/3/2023,Dinner,409.2,7.5,4.1,0.2,0.1,0,20,222,189,48.3,2.3,2.9,35.8,2.8,26.9,21,2.4,
1/3/2023,Evening,360,17,3.8,0,0,0,0,265,317.5,35.3,2.5,10.5,20.8,0,5,11.6,6.9,
1/3/2023,Lunch,402.4,5.5,2.5,0,0,0,13.3,363,284.4,51.1,5,2.5,34,0,0.9,12.3,3.6,
1/3/2023,Morning,416.7,12.7,4.7,0.1,1.1,0,119.6,356.7,785.8,42.3,6.8,8.6,29.1,1011.4,63.9,52.6,12,
