2024-06-10 11:21:40,873.nutrition_consumer.INFO ==================================================
2024-06-10 11:21:40,874.nutrition_consumer.INFO Today is 2024-06-10 at 11:21 AM
2024-06-10 11:21:40,874.nutrition_consumer.INFO Running on: nt Windows 10
2024-06-10 11:21:40,875.nutrition_consumer.INFO Python version:  3.11.9
2024-06-10 11:21:40,875.nutrition_consumer.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0
2024-06-10 11:21:40,875.nutrition_consumer.INFO Working dir: C:\Users\bambe\OneDrive\Documents\NMSU\44671_StreamingData\Module_7\44671_streaming-07-final-project
2024-06-10 11:21:40,875.nutrition_consumer.INFO ==================================================
2024-06-10 11:21:40,891.nutrition_consumer.INFO Queue 'Protein (g)' declared.
2024-06-10 11:21:40,892.nutrition_consumer.INFO Queue 'Fat (g)' declared.
2024-06-10 11:21:40,893.nutrition_consumer.INFO Queue 'Carbohydrates (g)' declared.
2024-06-10 11:21:40,907.nutrition_consumer.INFO  [*] Ready for work. To exit press CTRL+C
2024-06-10 11:21:40,907.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,907.nutrition_consumer.INFO Processing Protein (g) message: 1/1/2023, 187.7
2024-06-10 11:21:40,908.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,908.nutrition_consumer.INFO Processing Protein (g) message: 1/2/2023, 180.5
2024-06-10 11:21:40,908.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,908.nutrition_consumer.INFO Processing Protein (g) message: 1/3/2023, 180.9
2024-06-10 11:21:40,909.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,909.nutrition_consumer.INFO Processing Protein (g) message: 1/4/2023, 182.0
2024-06-10 11:21:40,909.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,909.nutrition_consumer.INFO Processing Protein (g) message: 1/5/2023, 183.3
2024-06-10 11:21:40,910.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,910.nutrition_consumer.INFO Processing Protein (g) message: 1/6/2023, 125.7
2024-06-10 11:21:40,910.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,910.nutrition_consumer.INFO Processing Protein (g) message: 1/7/2023, 182.9
2024-06-10 11:21:40,910.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,911.nutrition_consumer.INFO Processing Protein (g) message: 1/8/2023, 178.6
2024-06-10 11:21:40,911.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,911.nutrition_consumer.INFO Processing Protein (g) message: 1/9/2023, 182.0
2024-06-10 11:21:40,911.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,912.nutrition_consumer.INFO Processing Protein (g) message: 1/10/2023, 178.2
2024-06-10 11:21:40,912.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,912.nutrition_consumer.INFO Processing Protein (g) message: 1/11/2023, 157.1
2024-06-10 11:21:40,912.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,912.nutrition_consumer.INFO Processing Protein (g) message: 1/12/2023, 179.4
2024-06-10 11:21:40,913.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,913.nutrition_consumer.INFO Processing Protein (g) message: 1/13/2023, 180.3
2024-06-10 11:21:40,913.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,913.nutrition_consumer.INFO Processing Protein (g) message: 1/14/2023, 176.9
2024-06-10 11:21:40,913.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,913.nutrition_consumer.INFO Processing Protein (g) message: 1/15/2023, 117.3
2024-06-10 11:21:40,913.nutrition_consumer.WARNING Alert! Total protein for the day is below 120g: 117.3g
2024-06-10 11:21:40,914.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,914.nutrition_consumer.INFO Processing Protein (g) message: 1/16/2023, 154.8
2024-06-10 11:21:40,914.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,914.nutrition_consumer.INFO Processing Protein (g) message: 1/17/2023, 180.3
2024-06-10 11:21:40,915.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,915.nutrition_consumer.INFO Processing Protein (g) message: 1/18/2023, 174.9
2024-06-10 11:21:40,915.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,915.nutrition_consumer.INFO Processing Protein (g) message: 1/19/2023, 137.4
2024-06-10 11:21:40,917.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,918.nutrition_consumer.INFO Processing Protein (g) message: 1/20/2023, 160.2
2024-06-10 11:21:40,918.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,918.nutrition_consumer.INFO Processing Protein (g) message: 1/21/2023, 164.5
2024-06-10 11:21:40,919.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,919.nutrition_consumer.INFO Processing Protein (g) message: 1/22/2023, 164.9
2024-06-10 11:21:40,919.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,919.nutrition_consumer.INFO Processing Protein (g) message: 1/23/2023, 164.8
2024-06-10 11:21:40,920.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,920.nutrition_consumer.INFO Processing Protein (g) message: 1/24/2023, 164.4
2024-06-10 11:21:40,920.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,920.nutrition_consumer.INFO Processing Protein (g) message: 1/25/2023, 164.4
2024-06-10 11:21:40,921.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,921.nutrition_consumer.INFO Processing Protein (g) message: 1/26/2023, 165.0
2024-06-10 11:21:40,921.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,921.nutrition_consumer.INFO Processing Protein (g) message: 1/27/2023, 164.7
2024-06-10 11:21:40,922.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,922.nutrition_consumer.INFO Processing Protein (g) message: 1/28/2023, 165.5
2024-06-10 11:21:40,922.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,923.nutrition_consumer.INFO Processing Protein (g) message: 1/29/2023, 165.7
2024-06-10 11:21:40,923.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,923.nutrition_consumer.INFO Processing Protein (g) message: 1/30/2023, 164.3
2024-06-10 11:21:40,923.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,924.nutrition_consumer.INFO Processing Protein (g) message: 1/31/2023, 164.3
2024-06-10 11:21:40,924.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,925.nutrition_consumer.INFO Processing Protein (g) message: 2/1/2023, 164.8
2024-06-10 11:21:40,925.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,925.nutrition_consumer.INFO Processing Protein (g) message: 2/2/2023, 164.7
2024-06-10 11:21:40,926.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,927.nutrition_consumer.INFO Processing Protein (g) message: 2/3/2023, 166.5
2024-06-10 11:21:40,927.nutrition_consumer.INFO Received message from queue: Protein (g)
2024-06-10 11:21:40,927.nutrition_consumer.INFO Processing Protein (g) message: 2/4/2023, 161.0
2024-06-10 11:21:40,928.nutrition_consumer.INFO Received message from queue: Protein (g)
