2024-06-10 11:21:36,489.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,489.nutrition_producer.INFO Today is 2024-06-10 at 11:21 AM
2024-06-10 11:21:36,489.nutrition_producer.INFO Running on: nt Windows 10
2024-06-10 11:21:36,490.nutrition_producer.INFO Python version:  3.11.9
2024-06-10 11:21:36,490.nutrition_producer.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0
2024-06-10 11:21:36,490.nutrition_producer.INFO Working dir: C:\Users\bambe\OneDrive\Documents\NMSU\44671_StreamingData\Module_7\44671_streaming-07-final-project
2024-06-10 11:21:36,490.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,524.nutrition_producer.INFO Queue 'Protein (g)' declared.
2024-06-10 11:21:36,542.nutrition_producer.INFO Queue 'Fat (g)' declared.
2024-06-10 11:21:36,558.nutrition_producer.INFO Queue 'Carbohydrates (g)' declared.
2024-06-10 11:21:36,572.nutrition_producer.INFO Queue 'Sodium (mg)' declared.
2024-06-10 11:21:36,588.nutrition_producer.INFO Queue 'Fiber' declared.
2024-06-10 11:21:36,607.nutrition_producer.INFO  [x] Sent 'Date: 1/1/2023, Protein (g): 187.7' to queue 'Protein (g)'.
2024-06-10 11:21:36,615.nutrition_producer.INFO  [x] Sent 'Date: 1/1/2023, Fat (g): 62.7' to queue 'Fat (g)'.
2024-06-10 11:21:36,625.nutrition_producer.INFO  [x] Sent 'Date: 1/1/2023, Carbohydrates (g): 304.29999999999995' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:36,630.nutrition_producer.INFO  [x] Sent 'Date: 1/1/2023, Sodium (mg): 2673.7' to queue 'Sodium (mg)'.
2024-06-10 11:21:36,641.nutrition_producer.INFO  [x] Sent 'Date: 1/1/2023, Fiber: 35.9' to queue 'Fiber'.
2024-06-10 11:21:36,661.nutrition_producer.INFO  [x] Sent 'Date: 1/2/2023, Protein (g): 180.5' to queue 'Protein (g)'.
2024-06-10 11:21:36,669.nutrition_producer.INFO  [x] Sent 'Date: 1/2/2023, Fat (g): 64.1' to queue 'Fat (g)'.
2024-06-10 11:21:36,674.nutrition_producer.INFO  [x] Sent 'Date: 1/2/2023, Carbohydrates (g): 324.1' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:36,679.nutrition_producer.INFO  [x] Sent 'Date: 1/2/2023, Sodium (mg): 1589.4' to queue 'Sodium (mg)'.
2024-06-10 11:21:36,686.nutrition_producer.INFO  [x] Sent 'Date: 1/2/2023, Fiber: 34.7' to queue 'Fiber'.
2024-06-10 11:21:36,691.nutrition_producer.INFO  [x] Sent 'Date: 1/3/2023, Protein (g): 180.9' to queue 'Protein (g)'.
2024-06-10 11:21:36,697.nutrition_producer.INFO  [x] Sent 'Date: 1/3/2023, Fat (g): 65.2' to queue 'Fat (g)'.
2024-06-10 11:21:36,708.nutrition_producer.INFO  [x] Sent 'Date: 1/3/2023, Carbohydrates (g): 320.70000000000005' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:36,714.nutrition_producer.INFO  [x] Sent 'Date: 1/3/2023, Sodium (mg): 2093.0' to queue 'Sodium (mg)'.
2024-06-10 11:21:36,726.nutrition_producer.INFO  [x] Sent 'Date: 1/3/2023, Fiber: 30.4' to queue 'Fiber'.
